Pair ID,Schedule Type,Order Number,Scene Number,Actors,Equipment,Location,Coordinates,Duration
6,Schedule Plan 1,3,Scene 3,"Riley Wilson, Morgan Jones, Taylor Johnson, Casey Brown","Drone I, Drone I, Drone J, Drone J",Zürich Hardbrücke,"(47.385, 8.5172)",3h
6,Schedule Plan 1,4,Scene 4,"Alex Williams, Jamie Wilson","Drone A, Camera H, Camera D",Zürich Bahnhofstrasse,"(47.3733, 8.5377)",2h
6,Schedule Plan 1,5,Scene 5,"Sam Williams, Jamie Wilson, Casey Moore","Camera B, Gimbal H, Gimbal A, Boom Mic E, Drone G",Wollishofen,"(47.3407, 8.531)",1h
6,Schedule Plan 2,1,Scene 1,"Jamie Brown, River Taylor","Boom Mic C, Boom Mic G, Camera B, Camera F",Schlieren,"(47.3962, 8.4515)",3h
6,Schedule Plan 2,2,Scene 4,"Alex Williams, Jamie Wilson","Drone A, Camera H, Camera D",Zürich Bahnhofstrasse,"(47.3733, 8.5377)",2h
6,Schedule Plan 2,3,Scene 2,"River Taylor, Casey Miller","Gimbal F, Boom Mic F, Camera H, Drone B, Drone C",Altstetten,"(47.3914, 8.4886)",1h
6,Schedule Plan 2,4,Scene 3,"Riley Wilson, Morgan Jones, Taylor Johnson, Casey Brown","Drone I, Drone I, Drone J, Drone J",Zürich Hardbrücke,"(47.385, 8.5172)",3h
6,Schedule Plan 2,5,Scene 5,"Sam Williams, Jamie Wilson, Casey Moore","Camera B, Gimbal H, Gimbal A, Boom Mic E, Drone G",Wollishofen,"(47.3407, 8.531)",1h
7,Schedule Plan 1,1,Scene 1,"Morgan Wilson, Skyler Taylor, Riley Miller, Riley Miller","Drone B, Camera C",Schlieren,"(47.3962, 8.4515)",3h
7,Schedule Plan 1,2,Scene 2,"Jordan Jones, Jamie Moore, Alex Smith, Morgan Miller","Microphone I, Camera D",Altstetten,"(47.3914, 8.4886)",3h
7,Schedule Plan 1,3,Scene 3,"Jamie Taylor, Jordan Williams","Camera D, Microphone B, Gimbal J, Drone I",Zürich Hardbrücke,"(47.385, 8.5172)",2h
7,Schedule Plan 1,4,Scene 4,"Taylor Jones, River Miller, River Brown","Boom Mic C, Microphone A",Zürich Bahnhofstrasse,"(47.3733, 8.5377)",2h
7,Schedule Plan 1,5,Scene 5,"Alex Davis, Taylor Moore","Boom Mic B, Camera J",Wollishofen,"(47.3407, 8.531)",1h
7,Schedule Plan 2,1,Scene 2,"Jordan Jones, Jamie Moore, Alex Smith, Morgan Miller","Microphone I, Camera D",Altstetten,"(47.3914, 8.4886)",3h
7,Schedule Plan 2,2,Scene 4,"Taylor Jones, River Miller, River Brown","Boom Mic C, Microphone A",Zürich Bahnhofstrasse,"(47.3733, 8.5377)",2h
7,Schedule Plan 2,3,Scene 1,"Morgan Wilson, Skyler Taylor, Riley Miller, Riley Miller","Drone B, Camera C",Schlieren,"(47.3962, 8.4515)",3h
7,Schedule Plan 2,4,Scene 3,"Jamie Taylor, Jordan Williams","Camera D, Microphone B, Gimbal J, Drone I",Zürich Hardbrücke,"(47.385, 8.5172)",2h
7,Schedule Plan 2,5,Scene 5,"Alex Davis, Taylor Moore","Boom Mic B, Camera J",Wollishofen,"(47.3407, 8.531)",1h
8,Schedule Plan 1,1,Scene 1,"Jamie Williams, Jordan Miller","Microphone H, Camera I, Drone F",Schlieren,"(47.3962, 8.4515)",2h
8,Schedule Plan 1,2,Scene 2,"Alex Johnson, Morgan Taylor, Alex Johnson, Riley Miller","Microphone B, Camera B, Drone C, Gimbal B, Gimbal D",Altstetten,"(47.3914, 8.4886)",3h
8,Schedule Plan 1,3,Scene 3,"River Johnson, Casey Jones","Camera G, Gimbal B, Camera H, Gimbal B, Boom Mic C",Zürich Hardbrücke,"(47.385, 8.5172)",2h
8,Schedule Plan 1,4,Scene 4,"Morgan Davis, River Miller","Drone B, Drone A",Zürich Bahnhofstrasse,"(47.3733, 8.5377)",1h
8,Schedule Plan 1,5,Scene 5,"Sam Miller, Casey Taylor","Drone A, Gimbal C, Camera I",Wollishofen,"(47.3407, 8.531)",2h
8,Schedule Plan 2,1,Scene 1,"Jamie Williams, Jordan Miller","Microphone H, Camera I, Drone F",Schlieren,"(47.3962, 8.4515)",2h
8,Schedule Plan 2,2,Scene 3,"River Johnson, Casey Jones","Camera G, Gimbal B, Camera H, Gimbal B, Boom Mic C",Zürich Hardbrücke,"(47.385, 8.5172)",2h
8,Schedule Plan 2,3,Scene 5,"Sam Miller, Casey Taylor","Drone A, Gimbal C, Camera I",Wollishofen,"(47.3407, 8.531)",2h
8,Schedule Plan 2,4,Scene 4,"Morgan Davis, River Miller","Drone B, Drone A",Zürich Bahnhofstrasse,"(47.3733, 8.5377)",1h
8,Schedule Plan 2,5,Scene 2,"Alex Johnson, Morgan Taylor, Alex Johnson, Riley Miller","Microphone B, Camera B, Drone C, Gimbal B, Gimbal D",Altstetten,"(47.3914, 8.4886)",3h
9,Schedule Plan 1,1,Scene 1,"Morgan Moore, Taylor Brown, Casey Miller, Skyler Wilson","Boom Mic F, Camera G, Drone A",Schlieren,"(47.3962, 8.4515)",1h
9,Schedule Plan 1,2,Scene 2,"Sam Brown, Riley Davis","Drone A, Boom Mic G, Gimbal H",Altstetten,"(47.3914, 8.4886)",3h
9,Schedule Plan 1,3,Scene 3,"Casey Wilson, Jordan Taylor","Camera H, Camera F, Camera H, Microphone G",Zürich Hardbrücke,"(47.385, 8.5172)",2h
9,Schedule Plan 1,4,Scene 4,"River Johnson, Sam Moore","Microphone A, Microphone E, Boom Mic G",Zürich Bahnhofstrasse,"(47.3733, 8.5377)",2h
9,Schedule Plan 1,5,Scene 5,"Sam Johnson, River Jones, Jamie Moore","Gimbal G, Microphone J, Gimbal D, Gimbal C",Wollishofen,"(47.3407, 8.531)",2h
9,Schedule Plan 2,1,Scene 3,"Casey Wilson, Jordan Taylor","Camera H, Camera F, Camera H, Microphone G",Zürich Hardbrücke,"(47.385, 8.5172)",2h
9,Schedule Plan 2,2,Scene 2,"Sam Brown, Riley Davis","Drone A, Boom Mic G, Gimbal H",Altstetten,"(47.3914, 8.4886)",3h
9,Schedule Plan 2,3,Scene 4,"River Johnson, Sam Moore","Microphone A, Microphone E, Boom Mic G",Zürich Bahnhofstrasse,"(47.3733, 8.5377)",2h
9,Schedule Plan 2,4,Scene 1,"Morgan Moore, Taylor Brown, Casey Miller, Skyler Wilson","Boom Mic F, Camera G, Drone A",Schlieren,"(47.3962, 8.4515)",1h
9,Schedule Plan 2,5,Scene 5,"Sam Johnson, River Jones, Jamie Moore","Gimbal G, Microphone J, Gimbal D, Gimbal C",Wollishofen,"(47.3407, 8.531)",2h
10,Schedule Plan 1,1,Scene 1,"Jamie Jones, River Jones","Camera A, Gimbal D, Boom Mic E",Schlieren,"(47.3962, 8.4515)",2h
10,Schedule Plan 1,2,Scene 2,"Alex Taylor, Jamie Taylor, Casey Williams, Skyler Johnson","Gimbal D, Boom Mic B, Drone D, Camera B",Altstetten,"(47.3914, 8.4886)",1h
10,Schedule Plan 1,3,Scene 3,"Riley Johnson, Sam Brown, Alex Williams, Skyler Miller","Boom Mic E, Drone D",Zürich Hardbrücke,"(47.385, 8.5172)",2h
10,Schedule Plan 1,4,Scene 4,"Jamie Smith, Morgan Brown","Camera E, Gimbal F, Drone C, Drone A, Drone F",Zürich Bahnhofstrasse,"(47.3733, 8.5377)",3h
10,Schedule Plan 1,5,Scene 5,"Sam Taylor, River Brown","Drone J, Boom Mic A, Camera D",Wollishofen,"(47.3407, 8.531)",3h
10,Schedule Plan 2,1,Scene 1,"Jamie Jones, River Jones","Camera A, Gimbal D, Boom Mic E",Schlieren,"(47.3962, 8.4515)",2h
10,Schedule Plan 2,2,Scene 5,"Sam Taylor, River Brown","Drone J, Boom Mic A, Camera D",Wollishofen,"(47.3407, 8.531)",3h
10,Schedule Plan 2,3,Scene 2,"Alex Taylor, Jamie Taylor, Casey Williams, Skyler Johnson","Gimbal D, Boom Mic B, Drone D, Camera B",Altstetten,"(47.3914, 8.4886)",1h
10,Schedule Plan 2,4,Scene 4,"Jamie Smith, Morgan Brown","Camera E, Gimbal F, Drone C, Drone A, Drone F",Zürich Bahnhofstrasse,"(47.3733, 8.5377)",3h
10,Schedule Plan 2,5,Scene 3,"Riley Johnson, Sam Brown, Alex Williams, Skyler Miller","Boom Mic E, Drone D",Zürich Hardbrücke,"(47.385, 8.5172)",2h
1,Schedule Plan 1,1,Scene 1,"Alex Brown, River Miller, Skyler Wilson, Casey Wilson","Microphone I, Gimbal A, Drone D, Camera D, Drone E",Oerlikon,"(47.4105, 8.5445)",1h
1,Schedule Plan 1,2,Scene 2,"Alex Johnson, River Jones, Alex Johnson","Microphone E, Boom Mic E, Camera C",Seebach,"(47.4223, 8.5414)",2h
1,Schedule Plan 1,3,Scene 3,"Jordan Smith, Morgan Jones, Morgan Johnson, Alex Jones","Gimbal H, Boom Mic B, Boom Mic E, Drone G, Camera I",Affoltern,"(47.4184, 8.5246)",1h
1,Schedule Plan 1,4,Scene 4,"Sam Davis, Jamie Johnson","Gimbal I, Boom Mic I, Microphone H, Drone B, Camera I",Wipkingen,"(47.3932, 8.5297)",3h
1,Schedule Plan 1,5,Scene 5,"Morgan Brown, Riley Brown, Sam Williams","Drone J, Drone E, Gimbal C, Camera D",Schwamendingen,"(47.3972, 8.5567)",1h
1,Schedule Plan 2,1,Scene 2,"Alex Johnson, River Jones, Alex Johnson","Microphone E, Boom Mic E, Camera C",Seebach,"(47.4223, 8.5414)",2h
1,Schedule Plan 2,2,Scene 1,"Alex Brown, River Miller, Skyler Wilson, Casey Wilson","Microphone I, Gimbal A, Drone D, Camera D, Drone E",Oerlikon,"(47.4105, 8.5445)",1h
1,Schedule Plan 2,3,Scene 4,"Sam Davis, Jamie Johnson","Gimbal I, Boom Mic I, Microphone H, Drone B, Camera I",Wipkingen,"(47.3932, 8.5297)",3h
1,Schedule Plan 2,4,Scene 5,"Morgan Brown, Riley Brown, Sam Williams","Drone J, Drone E, Gimbal C, Camera D",Schwamendingen,"(47.3972, 8.5567)",1h
1,Schedule Plan 2,5,Scene 3,"Jordan Smith, Morgan Jones, Morgan Johnson, Alex Jones","Gimbal H, Boom Mic B, Boom Mic E, Drone G, Camera I",Affoltern,"(47.4184, 8.5246)",1h
2,Schedule Plan 1,1,Scene 1,"Casey Johnson, Riley Brown, Jordan Davis, Morgan Wilson","Boom Mic B, Drone I, Boom Mic E",Oerlikon,"(47.4105, 8.5445)",1h
2,Schedule Plan 1,2,Scene 2,"Alex Miller, Jordan Davis","Microphone D, Boom Mic I, Microphone A, Microphone H",Seebach,"(47.4223, 8.5414)",3h
2,Schedule Plan 1,3,Scene 3,"Skyler Brown, Sam Wilson, Alex Moore, Sam Jones","Microphone E, Camera D, Drone I, Microphone A",Affoltern,"(47.4184, 8.5246)",2h
2,Schedule Plan 1,4,Scene 4,"Casey Brown, Alex Smith, Jordan Miller, Alex Brown","Gimbal B, Gimbal E, Drone G, Gimbal C, Gimbal J",Wipkingen,"(47.3932, 8.5297)",1h
2,Schedule Plan 1,5,Scene 5,"River Smith, Riley Johnson, Morgan Brown, River Brown","Gimbal I, Gimbal J, Microphone H",Schwamendingen,"(47.3972, 8.5567)",2h
2,Schedule Plan 2,1,Scene 1,"Casey Johnson, Riley Brown, Jordan Davis, Morgan Wilson","Boom Mic B, Drone I, Boom Mic E",Oerlikon,"(47.4105, 8.5445)",1h
2,Schedule Plan 2,2,Scene 3,"Skyler Brown, Sam Wilson, Alex Moore, Sam Jones","Microphone E, Camera D, Drone I, Microphone A",Affoltern,"(47.4184, 8.5246)",2h
2,Schedule Plan 2,3,Scene 5,"River Smith, Riley Johnson, Morgan Brown, River Brown","Gimbal I, Gimbal J, Microphone H",Schwamendingen,"(47.3972, 8.5567)",2h
2,Schedule Plan 2,4,Scene 2,"Alex Miller, Jordan Davis","Microphone D, Boom Mic I, Microphone A, Microphone H",Seebach,"(47.4223, 8.5414)",3h
2,Schedule Plan 2,5,Scene 4,"Casey Brown, Alex Smith, Jordan Miller, Alex Brown","Gimbal B, Gimbal E, Drone G, Gimbal C, Gimbal J",Wipkingen,"(47.3932, 8.5297)",1h
3,Schedule Plan 1,1,Scene 1,"Jamie Brown, River Brown, Jordan Moore, Skyler Johnson","Drone B, Boom Mic B, Drone I, Camera G, Boom Mic A",Oerlikon,"(47.4105, 8.5445)",2h
3,Schedule Plan 1,2,Scene 2,"Sam Smith, Riley Taylor","Drone G, Gimbal F, Drone G, Camera B",Seebach,"(47.4223, 8.5414)",2h
3,Schedule Plan 1,3,Scene 3,"Jordan Taylor, Casey Wilson, Casey Miller","Boom Mic D, Boom Mic D",Affoltern,"(47.4184, 8.5246)",1h
3,Schedule Plan 1,4,Scene 4,"Skyler Davis, Sam Smith, Casey Wilson","Gimbal A, Drone H, Boom Mic A, Camera G, Drone F",Wipkingen,"(47.3932, 8.5297)",3h
3,Schedule Plan 1,5,Scene 5,"Jamie Smith, Riley Smith, Alex Miller","Drone J, Camera J, Microphone G, Camera A",Schwamendingen,"(47.3972, 8.5567)",3h
3,Schedule Plan 2,1,Scene 2,"Sam Smith, Riley Taylor","Drone G, Gimbal F, Drone G, Camera B",Seebach,"(47.4223, 8.5414)",2h
3,Schedule Plan 2,2,Scene 5,"Jamie Smith, Riley Smith, Alex Miller","Drone J, Camera J, Microphone G, Camera A",Schwamendingen,"(47.3972, 8.5567)",3h
3,Schedule Plan 2,3,Scene 3,"Jordan Taylor, Casey Wilson, Casey Miller","Boom Mic D, Boom Mic D",Affoltern,"(47.4184, 8.5246)",1h
3,Schedule Plan 2,4,Scene 4,"Skyler Davis, Sam Smith, Casey Wilson","Gimbal A, Drone H, Boom Mic A, Camera G, Drone F",Wipkingen,"(47.3932, 8.5297)",3h
3,Schedule Plan 2,5,Scene 1,"Jamie Brown, River Brown, Jordan Moore, Skyler Johnson","Drone B, Boom Mic B, Drone I, Camera G, Boom Mic A",Oerlikon,"(47.4105, 8.5445)",2h
4,Schedule Plan 1,1,Scene 1,"Alex Davis, Jamie Williams, Casey Williams","Microphone C, Gimbal A, Microphone H",Oerlikon,"(47.4105, 8.5445)",1h
4,Schedule Plan 1,2,Scene 2,"Alex Moore, River Moore, Jamie Smith","Drone D, Drone D, Gimbal I",Seebach,"(47.4223, 8.5414)",3h
4,Schedule Plan 1,3,Scene 3,"Skyler Jones, River Jones, Jordan Williams, Casey Brown","Gimbal D, Boom Mic F, Boom Mic H, Gimbal H",Affoltern,"(47.4184, 8.5246)",3h
4,Schedule Plan 1,4,Scene 4,"River Moore, Jamie Davis, Alex Davis","Microphone J, Microphone E, Microphone A, Drone C, Drone B",Wipkingen,"(47.3932, 8.5297)",2h
4,Schedule Plan 1,5,Scene 5,"Jamie Moore, Jamie Wilson, Casey Taylor","Microphone E, Gimbal I",Schwamendingen,"(47.3972, 8.5567)",3h
4,Schedule Plan 2,1,Scene 1,"Alex Davis, Jamie Williams, Casey Williams","Microphone C, Gimbal A, Microphone H",Oerlikon,"(47.4105, 8.5445)",1h
4,Schedule Plan 2,2,Scene 2,"Alex Moore, River Moore, Jamie Smith","Drone D, Drone D, Gimbal I",Seebach,"(47.4223, 8.5414)",3h
4,Schedule Plan 2,3,Scene 5,"Jamie Moore, Jamie Wilson, Casey Taylor","Microphone E, Gimbal I",Schwamendingen,"(47.3972, 8.5567)",3h
4,Schedule Plan 2,4,Scene 3,"Skyler Jones, River Jones, Jordan Williams, Casey Brown","Gimbal D, Boom Mic F, Boom Mic H, Gimbal H",Affoltern,"(47.4184, 8.5246)",3h
4,Schedule Plan 2,5,Scene 4,"River Moore, Jamie Davis, Alex Davis","Microphone J, Microphone E, Microphone A, Drone C, Drone B",Wipkingen,"(47.3932, 8.5297)",2h
5,Schedule Plan 1,1,Scene 1,"Riley Wilson, Taylor Taylor, River Jones","Gimbal G, Gimbal C, Drone C, Microphone F",Oerlikon,"(47.4105, 8.5445)",1h
5,Schedule Plan 1,2,Scene 2,"Jordan Brown, Morgan Miller, Jordan Miller","Microphone C, Camera D",Seebach,"(47.4223, 8.5414)",1h
5,Schedule Plan 1,3,Scene 3,"Taylor Davis, Jordan Wilson, Jamie Wilson","Gimbal H, Gimbal J, Boom Mic D, Camera G",Affoltern,"(47.4184, 8.5246)",2h
5,Schedule Plan 1,4,Scene 4,"Taylor Smith, Casey Taylor, Morgan Smith, Alex Williams","Boom Mic C, Microphone A",Wipkingen,"(47.3932, 8.5297)",3h
5,Schedule Plan 1,5,Scene 5,"Sam Johnson, Jamie Williams","Microphone B, Drone F, Drone A",Schwamendingen,"(47.3972, 8.5567)",1h
5,Schedule Plan 2,1,Scene 2,"Jordan Brown, Morgan Miller, Jordan Miller","Microphone C, Camera D",Seebach,"(47.4223, 8.5414)",1h
5,Schedule Plan 2,2,Scene 5,"Sam Johnson, Jamie Williams","Microphone B, Drone F, Drone A",Schwamendingen,"(47.3972, 8.5567)",1h
5,Schedule Plan 2,3,Scene 3,"Taylor Davis, Jordan Wilson, Jamie Wilson","Gimbal H, Gimbal J, Boom Mic D, Camera G",Affoltern,"(47.4184, 8.5246)",2h
5,Schedule Plan 2,4,Scene 4,"Taylor Smith, Casey Taylor, Morgan Smith, Alex Williams","Boom Mic C, Microphone A",Wipkingen,"(47.3932, 8.5297)",3h
5,Schedule Plan 2,5,Scene 1,"Riley Wilson, Taylor Taylor, River Jones","Gimbal G, Gimbal C, Drone C, Microphone F",Oerlikon,"(47.4105, 8.5445)",1h
6,Schedule Plan 1,1,Scene 1,"Taylor Moore, River Smith, Sam Brown","Gimbal C, Boom Mic D, Drone H, Gimbal I, Drone F",Oerlikon,"(47.4105, 8.5445)",2h
6,Schedule Plan 1,2,Scene 2,"River Davis, Skyler Jones, Casey Johnson","Drone H, Gimbal F, Drone F",Seebach,"(47.4223, 8.5414)",3h
6,Schedule Plan 1,3,Scene 3,"Jamie Wilson, Taylor Miller","Camera I, Microphone C, Drone B",Affoltern,"(47.4184, 8.5246)",1h
6,Schedule Plan 1,4,Scene 4,"Alex Taylor, River Smith","Drone E, Drone E, Camera B, Drone C",Wipkingen,"(47.3932, 8.5297)",1h
6,Schedule Plan 1,5,Scene 5,"Casey Williams, Sam Moore","Boom Mic C, Gimbal G, Boom Mic G, Drone B",Schwamendingen,"(47.3972, 8.5567)",1h
6,Schedule Plan 2,1,Scene 4,"Alex Taylor, River Smith","Drone E, Drone E, Camera B, Drone C",Wipkingen,"(47.3932, 8.5297)",1h
